isPageImage, link, compareLink, similarUrlCount, isRelatedLink, containsHost
true,https://cm.blazefast.co/25/1f/251f432bc907cb0a49092d4359994d0d.jpg,25/1f/251f432bc907cb0a49092d4359994d0d.jpg,12,false,false
true,https://cm.blazefast.co/a0/9f/a09f5c485bc406d3302d50a9330db909.jpg,a0/9f/a09f5c485bc406d3302d50a9330db909.jpg,11,false,false
true,https://cm.blazefast.co/e6/be/e6bef786368b731819b5325cc7317328.jpg,e6/be/e6bef786368b731819b5325cc7317328.jpg,11,false,false
true,https://cm.blazefast.co/d7/97/d79797d790e55e3437488597c4e63a5e.jpg,d7/97/d79797d790e55e3437488597c4e63a5e.jpg,16,false,false
true,https://cm.blazefast.co/01/70/0170533fdb608cfe4c80b4719693378b.jpg,01/70/0170533fdb608cfe4c80b4719693378b.jpg,9,false,false
true,https://cm.blazefast.co/3d/85/3d8591f97c60d5d6bb75187eab1ef9ba.jpg,3d/85/3d8591f97c60d5d6bb75187eab1ef9ba.jpg,11,false,false
true,https://cm.blazefast.co/d7/fb/d7fb4af68fd6befa9aa0ed840a11d24d.jpg,d7/fb/d7fb4af68fd6befa9aa0ed840a11d24d.jpg,9,false,false
true,https://cm.blazefast.co/03/98/0398f4fe80ee210061d1d6dd912c74ee.jpg,03/98/0398f4fe80ee210061d1d6dd912c74ee.jpg,15,false,false
true,https://cm.blazefast.co/bc/eb/bcebf6ae208f090c4c74ed779222c379.jpg,bc/eb/bcebf6ae208f090c4c74ed779222c379.jpg,11,false,false
true,https://cm.blazefast.co/9c/75/9c75f9e8b9b4af041f86f762c6183537.jpg,9c/75/9c75f9e8b9b4af041f86f762c6183537.jpg,6,false,false
true,https://cm.blazefast.co/77/cb/77cbaebae7d595e2c960e9903247068c.jpg,77/cb/77cbaebae7d595e2c960e9903247068c.jpg,14,false,false
true,https://cm.blazefast.co/39/c2/39c25fe65c4da2f95eb27690eae1eaf4.jpg,39/c2/39c25fe65c4da2f95eb27690eae1eaf4.jpg,9,false,false
true,https://cm.blazefast.co/3d/49/3d492d77d1473175879c73182654c443.jpg,3d/49/3d492d77d1473175879c73182654c443.jpg,14,false,false
true,https://cm.blazefast.co/5d/c1/5dc13a53ecdafea9b3088894e61a776f.jpg,5d/c1/5dc13a53ecdafea9b3088894e61a776f.jpg,11,false,false
true,https://cm.blazefast.co/3a/20/3a206045bf7ff1afe0b35edf9f0cb958.jpg,3a/20/3a206045bf7ff1afe0b35edf9f0cb958.jpg,8,false,false
true,https://cm.blazefast.co/54/a3/54a3e8faec6fbf6dff6b757341527728.jpg,54/a3/54a3e8faec6fbf6dff6b757341527728.jpg,12,false,false
true,https://cm.blazefast.co/39/17/39170546b93d84b0640f1b5bd99daf57.jpg,39/17/39170546b93d84b0640f1b5bd99daf57.jpg,13,false,false
true,https://cm.blazefast.co/53/5b/535be8dda94ecac8e18f5fe95bf8a8de.jpg,53/5b/535be8dda94ecac8e18f5fe95bf8a8de.jpg,12,false,false
true,https://cm.blazefast.co/3a/94/3a942815ad719c31110f46a56750c118.jpg,3a/94/3a942815ad719c31110f46a56750c118.jpg,12,false,false
true,https://cm.blazefast.co/e4/7f/e47f9ff1a89779a1022499a0512634be.jpg,e4/7f/e47f9ff1a89779a1022499a0512634be.jpg,13,false,false
true,https://cm.blazefast.co/e4/6c/e46cf2116bdd67765851859eb242449d.jpg,e4/6c/e46cf2116bdd67765851859eb242449d.jpg,12,false,false
true,https://cm.blazefast.co/9a/45/9a4584554a627df69c76d0cad952ad22.jpg,9a/45/9a4584554a627df69c76d0cad952ad22.jpg,14,false,false
true,https://cm.blazefast.co/5f/ca/5fca21a50a6b7e7eaa771943a792701d.jpg,5f/ca/5fca21a50a6b7e7eaa771943a792701d.jpg,12,false,false
true,https://cm.blazefast.co/ce/92/ce9274aeefb3579ff6de3852f55e1c5f.jpg,ce/92/ce9274aeefb3579ff6de3852f55e1c5f.jpg,13,false,false
true,https://cm.blazefast.co/35/cc/35ccc5207cb1cab89091174df9c75e47.jpg,35/cc/35ccc5207cb1cab89091174df9c75e47.jpg,13,false,false


false,https://static.animemark.com/img/logo-batoto.png?v0,img/logo-batoto.png?v0,0,false,false
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214835_940_1347_104154.jpeg?acc=KWx81GHS1AJ4gARSvC-xng&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214835_940_1347_104154.jpeg?acc=kwx81ghs1aj4garsvc-xng&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214836_940_1995_208271.jpeg?acc=0qZWsY1NWcb8WiTi7rXz5w&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214836_940_1995_208271.jpeg?acc=0qzwsy1nwcb8witi7rxz5w&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214837_940_1995_274077.jpeg?acc=Y-MqewZ_Cpjob-k80rvWtQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214837_940_1995_274077.jpeg?acc=y-mqewz_cpjob-k80rvwtq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214838_940_1995_204391.jpeg?acc=ZoHgC4kaJPgfBKpBpWh7AQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214838_940_1995_204391.jpeg?acc=zohgc4kajpgfbkpbpwh7aq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214839_940_1995_262975.jpeg?acc=geK1KImudVyxKFlmvSjpjA&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214839_940_1995_262975.jpeg?acc=gek1kimudvyxkflmvsjpja&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214840_940_1995_265357.jpeg?acc=sEoIBs-ReEYIuE_1_FPwuA&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214840_940_1995_265357.jpeg?acc=seoibs-reeyiue_1_fpwua&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214841_940_1995_191407.jpeg?acc=MPDVZhSYS1FUsc0Ai6gWBQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214841_940_1995_191407.jpeg?acc=mpdvzhsys1fusc0ai6gwbq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214842_940_1989_210903.jpeg?acc=npvF7qhdlfUU85iHsrIlew&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214842_940_1989_210903.jpeg?acc=npvf7qhdlfuu85ihsrilew&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214843_940_1769_221639.jpeg?acc=CsQFu9eLfKa7_i3QmrmfEg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214843_940_1769_221639.jpeg?acc=csqfu9elfka7_i3qmrmfeg&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214844_940_1769_181581.jpeg?acc=HGKyRCMEHdxoER3m96S3FQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214844_940_1769_181581.jpeg?acc=hgkyrcmehdxoer3m96s3fq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214847_940_1769_208999.jpeg?acc=nO57rmJAWBKOGLX1hfxgXg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214847_940_1769_208999.jpeg?acc=no57rmjawbkoglx1hfxgxg&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214846_940_1769_184388.jpeg?acc=T2_zhMV7615vIe8E98wAsQ&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214846_940_1769_184388.jpeg?acc=t2_zhmv7615vie8e98wasq&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214845_940_1769_166218.jpeg?acc=FKKx4k9Q_iW3zOD7kZaYkg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214845_940_1769_166218.jpeg?acc=fkkx4k9q_iw3zod7kzaykg&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214848_940_1769_214760.jpeg?acc=2_Ko6hpJYseubaGNF_GMLw&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214848_940_1769_214760.jpeg?acc=2_ko6hpjyseubagnf_gmlw&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214849_940_1769_191703.jpeg?acc=CdZywvqa860FUxvExtdiOg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214849_940_1769_191703.jpeg?acc=cdzywvqa860fuxvextdiog&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214850_940_1767_206465.jpeg?acc=pwZT9BGVAWrLN9aVkWIEhg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214850_940_1767_206465.jpeg?acc=pwzt9bgvawrln9avkwiehg&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214851_940_1777_213431.jpeg?acc=p0umF2NAprfQBrXljxjvfg&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214851_940_1777_213431.jpeg?acc=p0umf2naprfqbrxljxjvfg&exp=1610780064,46,false,true
true,https://xcdn-210.bato.to/7002/36c/5fc0030a1379ea4f51550c63/2214853_940_1777_128867.jpeg?acc=C1ZdpO1GzBpZq8odtkemuw&exp=1610780064,7002/36c/5fc0030a1379ea4f51550c63/2214853_940_1777_128867.jpeg?acc=c1zdpo1gzbpzq8odtkemuw&exp=1610780064,46,false,true
