isChapter, link, compareLink, text, isChildLink, similarityRatio, containsChapter, endsWithNumber
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-234,chapter/return-of-immortal-emperor/chapter-234,#234 - Chapter 23409-27-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-233,chapter/return-of-immortal-emperor/chapter-233,#233 - Chapter 23309-21-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-232,chapter/return-of-immortal-emperor/chapter-232,#232 - chapter 23209-16-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-231,chapter/return-of-immortal-emperor/chapter-231,#231 - Chapter 23109-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-230,chapter/return-of-immortal-emperor/chapter-230,#230 - Chapter 23009-09-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-229,chapter/return-of-immortal-emperor/chapter-229,#229 - Chapter 22909-04-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-228,chapter/return-of-immortal-emperor/chapter-228,#228 - Chapter 22808-30-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-227,chapter/return-of-immortal-emperor/chapter-227,#227 - Chapter 22708-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-226,chapter/return-of-immortal-emperor/chapter-226,#226 - Chapter 22608-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-225,chapter/return-of-immortal-emperor/chapter-225,#225 - Chapter 22508-24-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-224,chapter/return-of-immortal-emperor/chapter-224,#224 - Chapter 22408-21-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-223,chapter/return-of-immortal-emperor/chapter-223,#223 - Chapter 22308-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-222,chapter/return-of-immortal-emperor/chapter-222,#222 - Chapter 22208-14-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-221,chapter/return-of-immortal-emperor/chapter-221,#221 - Chapter 22108-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-220,chapter/return-of-immortal-emperor/chapter-220,#220 - Chapter 22008-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-219,chapter/return-of-immortal-emperor/chapter-219,#219 - Chapter 21908-06-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-218,chapter/return-of-immortal-emperor/chapter-218,#218 - Chapter 21808-01-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-217,chapter/return-of-immortal-emperor/chapter-217,#217 - Chapter 21707-28-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-216,chapter/return-of-immortal-emperor/chapter-216,#216 - Chapter 21607-24-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-215,chapter/return-of-immortal-emperor/chapter-215,#215 - Chapter 21507-20-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-214,chapter/return-of-immortal-emperor/chapter-214,#214 - Chapter 21407-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-213,chapter/return-of-immortal-emperor/chapter-213,#213 - Chapter 21307-10-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-212,chapter/return-of-immortal-emperor/chapter-212,#212 - Chapter 21207-03-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-211,chapter/return-of-immortal-emperor/chapter-211,#211 - Chapter 21106-28-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-210,chapter/return-of-immortal-emperor/chapter-210,#210 - Chapter 21006-25-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-209,chapter/return-of-immortal-emperor/chapter-209,#209 - Chapter 20906-21-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-208,chapter/return-of-immortal-emperor/chapter-208,#208 - Chapter 20806-18-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-207,chapter/return-of-immortal-emperor/chapter-207,#207 - Chapter 20706-15-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-206,chapter/return-of-immortal-emperor/chapter-206,#206 - Chapter 20606-11-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-205,chapter/return-of-immortal-emperor/chapter-205,#205 - Chapter 20506-08-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-204,chapter/return-of-immortal-emperor/chapter-204,#204 - Chapter 20406-08-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-203,chapter/return-of-immortal-emperor/chapter-203,#203 - Chapter 20306-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-202,chapter/return-of-immortal-emperor/chapter-202,#202 - Chapter 20206-05-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-201,chapter/return-of-immortal-emperor/chapter-201,#201 - Chapter 20105-30-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-200,chapter/return-of-immortal-emperor/chapter-200,#200 - Chapter 20005-23-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-199,chapter/return-of-immortal-emperor/chapter-199,#199 - Chapter 19905-20-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-198,chapter/return-of-immortal-emperor/chapter-198,#198 - Chapter 19805-17-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-197,chapter/return-of-immortal-emperor/chapter-197,#197 - Chapter 19705-14-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-196,chapter/return-of-immortal-emperor/chapter-196,#196 - Chapter 19605-12-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-195,chapter/return-of-immortal-emperor/chapter-195,#195 - Chapter 19505-09-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-194,chapter/return-of-immortal-emperor/chapter-194,#194 - Chapter 19405-07-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-193,chapter/return-of-immortal-emperor/chapter-193,#193 - Chapter 19304-30-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-192,chapter/return-of-immortal-emperor/chapter-192,#192 - Chapter 19204-26-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-191,chapter/return-of-immortal-emperor/chapter-191,#191 - Chapter 19104-19-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-190,chapter/return-of-immortal-emperor/chapter-190,#190 - Chapter 19004-16-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-189,chapter/return-of-immortal-emperor/chapter-189,#189 - Chapter 18904-13-2021,true,0.8103975535168195,true,true
true,https://mangahere.onl/chapter/return-of-immortal-emperor/chapter-188,chapter/return-of-immortal-emperor/chapter-188,#188 - Chapter 18804-10-2021,true,0.8103975535168195,true,true
